Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B-4020,WS2812B-4020,92.0,-106.85,0.0,top
D10,WS2812B-4020,WS2812B-4020,112.0,-146.85,0.0,top
D11,WS2812B-4020,WS2812B-4020,132.0,-146.85,0.0,top
D12,WS2812B-4020,WS2812B-4020,152.0,-146.85,0.0,top
D13,WS2812B-4020,WS2812B-4020,92.0,-166.85,0.0,top
D14,WS2812B-4020,WS2812B-4020,112.0,-166.85,0.0,top
D15,WS2812B-4020,WS2812B-4020,132.0,-166.85,0.0,top
D16,WS2812B-4020,WS2812B-4020,152.0,-166.85,0.0,top
D2,WS2812B-4020,WS2812B-4020,112.0,-106.85,0.0,top
D3,WS2812B-4020,WS2812B-4020,132.0,-106.85,0.0,top
D4,WS2812B-4020,WS2812B-4020,152.0,-106.85,0.0,top
D5,WS2812B-4020,WS2812B-4020,92.0,-126.85,0.0,top
D6,WS2812B-4020,WS2812B-4020,112.0,-126.85,0.0,top
D7,WS2812B-4020,WS2812B-4020,132.0,-126.85,0.0,top
D8,WS2812B-4020,WS2812B-4020,152.0,-126.85,0.0,top
D9,WS2812B-4020,WS2812B-4020,92.0,-146.85,0.0,top
J1,Conn_01x09_Socket,oled_rotary,121.5,-71.5,180.0,top
J2,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,142.23,-56.5,90.0,top
JP1,Jumper_Closed,PinHeader_1x02_P2.54mm_Vertical,86.0,-63.77,180.0,top
R1,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,92.5,-65.69,-90.0,top
R2,4.3k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,92.5,-77.19,-90.0,top
S1,PG151101S11,Kailh_socket_MX,91.365,-98.70695,0.0,top
S10,PG151101S11,Kailh_socket_MX,111.365,-138.70695,0.0,top
S11,PG151101S11,Kailh_socket_MX,131.365,-138.70695,0.0,top
S12,PG151101S11,Kailh_socket_MX,151.785,-138.86695,0.0,top
S13,PG151101S11,Kailh_socket_MX,91.365,-158.70695,0.0,top
S14,PG151101S11,Kailh_socket_MX,111.365,-158.70695,0.0,top
S15,PG151101S11,Kailh_socket_MX,131.365,-158.70695,0.0,top
S16,PG151101S11,Kailh_socket_MX,151.365,-158.70695,0.0,top
S2,PG151101S11,Kailh_socket_MX,111.365,-98.70695,0.0,top
S3,PG151101S11,Kailh_socket_MX,131.365,-98.70695,0.0,top
S4,PG151101S11,Kailh_socket_MX,151.365,-98.70695,0.0,top
S5,PG151101S11,Kailh_socket_MX,91.365,-118.70695,0.0,top
S6,PG151101S11,Kailh_socket_MX,111.365,-118.70695,0.0,top
S7,PG151101S11,Kailh_socket_MX,131.365,-118.70695,0.0,top
S8,PG151101S11,Kailh_socket_MX,151.365,-118.70695,0.0,top
S9,PG151101S11,Kailh_socket_MX,91.365,-138.70695,0.0,top
U1,ESP32-DEVKIT-V1,MODULE_ESP32_DEVKIT_V1,121.5,-73.525,90.0,top
